Run,Assay Type,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Library Name,AvgSpotLen,Bases,Cultivar,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Collection_Date,Lat_Lon,Isolation_source,estimated_size,ploidy,BIOME,feature,Host,isol_growth_condt,material,nominal_length (run),num_replicons,propagation,ref_biomaterial,Run_ID (run),tissue,Age,Isolate,Ecotype,collected_by,BIOMATERIAL_PROVIDER,Development_stage,indexi7 (run),Plate_pos (run),PlateID (run),pool_name (run),RNAEXTLOC,RNAEXTMTHD,dev_stage,Genotype,treatment,Developmental_stage,sample_name,common_name,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Broker_name,organism_part,GEO_Accession (exp),source_name,replicate,Experiment,filename_1,filename_2,phenotype,strain,stress,sequencing_date,sequencing_provider,platform,growth_protocol,sample_title1,sample_title2,sample_type,sorghum_genotype,time_point,population,rip_antibody,height_or_length,irrigation_status,quality (run),forward_read_length (run),MD5_checksum1 (run),MD5_checksum2 (run),reverse_read_length (run),Cell_type,plant_strain,protocol,symbiotic_status,organism,sample_title,sex,temp,fungal_strain,plot,watering_regime,sub_species,Cell_line,CULTURE_COLLECTION,Description,disease,disease_stage,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),isolation_and_growth_condition,number_of_replicons,plant_developmental_stage,plant_growth_medium,plant_structure,sample_health_state,specimen_voucher,Accession,growth_condition,LIBRARY_STRAND (exp),stimulus,subspecies,tissue_biomaterial_provider
ERR2096905,RNA-Seq,PRJEB22168,SAMEA104212573,1559524477,CSHL Genome center,public,"sra,fastq","ena,s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public,ena",ERX2154268,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212573,ERP024508,group 1_p,250,3738807500,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 1,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212573,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 1,ArrayExpress,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096907,RNA-Seq,PRJEB22168,SAMEA104212573,1599910913,CSHL Genome center,public,"sra,fastq","s3,ena,gs","gs.US,ena,s3.us-east-1",ERX2154268,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212573,ERP024508,group 1_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 1,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212573,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 1,ArrayExpress,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096908,RNA-Seq,PRJEB22168,SAMEA104212574,918753066,CSHL Genome center,public,"sra,fastq","ena,gs,s3","s3.us-east-1,gs.US,ena",ERX2154269,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212574,ERP024508,group 10_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 10,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212574,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 10,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096911,RNA-Seq,PRJEB22168,SAMEA104212574,923068209,CSHL Genome center,public,"fastq,sra","s3,ncbi,gs,ena","s3.us-east-1,ncbi.public,gs.US,ena",ERX2154269,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212574,ERP024508,group 10_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 10,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212574,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 10,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096912,RNA-Seq,PRJEB22168,SAMEA104212574,904165685,CSHL Genome center,public,"sra,fastq","s3,ncbi,gs,ena","ncbi.public,ena,gs.US,s3.us-east-1",ERX2154269,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212574,ERP024508,group 10_p,250,2156086500,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 10,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212574,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 10,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096917,RNA-Seq,PRJEB22168,SAMEA104212575,1073887146,CSHL Genome center,public,"fastq,sra","ena,s3,gs","s3.us-east-1,ena,gs.US",ERX2154270,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212575,ERP024508,group 11_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 11,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212575,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 11,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096919,RNA-Seq,PRJEB22168,SAMEA104212576,751674243,CSHL Genome center,public,"fastq,sra","s3,ena,gs","s3.us-east-1,ena,gs.US",ERX2154271,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212576,ERP024508,group 12_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 12,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212576,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 12,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096920,RNA-Seq,PRJEB22168,SAMEA104212576,757598910,CSHL Genome center,public,"fastq,sra","gs,ena,s3","s3.us-east-1,gs.US,ena",ERX2154271,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212576,ERP024508,group 12_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 12,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212576,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 12,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096922,RNA-Seq,PRJEB22168,SAMEA104212576,749327826,CSHL Genome center,public,"fastq,sra","ena,s3,ncbi,gs","s3.us-east-1,ena,ncbi.public,gs.US",ERX2154271,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212576,ERP024508,group 12_p,250,1798060750,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 12,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212576,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 12,ArrayExpress,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096925,RNA-Seq,PRJEB22168,SAMEA104212577,525720618,CSHL Genome center,public,"fastq,sra","ena,s3,gs","ena,s3.us-east-1,gs.US",ERX2154272,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212577,ERP024508,group 13_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 13,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212577,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 13,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
